RA,Fase,Turma,Nome,Ano_Nascimento,Idade,Genero,Ano_Ingresso,Instituicao_Ensino,Ano_Referencia,Pedra_20,Pedra_21,Pedra_22,INDE_22,Num_Av,Avaliador1,Avaliador2,Avaliador3,IAA,IEG,IPS,IDA,Mat,Por,Ing,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Pedra_23,Pedra_23_1,IPP,Pedra_24,Pedra
RA-90,Fase 5,L,Aluno-90,2009,13,F,2019,Privada,2022,Topazio,Topazio,Topazio,9.442,4.0,Avaliador-5,Avaliador-27,Avaliador-24,10.0,9.7,9.4,8.5,7.7,8.0,9.8,Sim,9.75,10.0,Fase 3,2,,,,,
RA-91,Fase 5,L,Aluno-91,2006,16,F,2016,Privada,2022,Ametista,Ametista,Agata,6.645,4.0,Avaliador-5,Avaliador-27,Avaliador-24,9.2,5.7,5.6,6.6,5.5,5.7,8.5,Não,7.125,5.0,Fase 6,-1,,,,,
RA-92,Fase 5,L,Aluno-92,2006,16,F,2016,Privada,2022,Topazio,Ametista,Agata,6.957,4.0,Avaliador-5,Avaliador-27,Avaliador-24,9.2,7.1,5.0,7.4,7.8,5.5,8.8,Não,6.667,5.0,Fase 6,-1,,,,,
RA-93,Fase 5,L,Aluno-93,2007,15,F,2016,Privada,2022,Ametista,Topazio,Topazio,8.941,4.0,Avaliador-5,Avaliador-27,Avaliador-24,8.3,9.7,8.1,8.5,8.8,8.3,8.4,Sim,9.083,10.0,Fase 5,0,,,,,
RA-94,Fase 5,L,Aluno-94,2007,15,F,2018,Privada,2022,Ametista,Topazio,Topazio,8.921,4.0,Avaliador-5,Avaliador-27,Avaliador-24,8.3,9.6,8.1,7.7,7.0,6.7,9.5,Sim,9.583,10.0,Fase 5,0,,,,,
RA-95,Fase 5,L,Aluno-95,2005,17,F,2022,Publica,2022,,,Agata,6.308,4.0,Avaliador-5,Avaliador-27,Avaliador-24,8.3,6.6,7.5,4.8,6.0,8.0,0.5,Não,6.292,5.0,Fase 7,-2,,,,,
RA-96,Fase 5,L,Aluno-96,2006,16,M,2021,Publica,2022,,Ametista,Ametista,7.54,4.0,Avaliador-5,Avaliador-27,Avaliador-24,9.2,7.8,6.9,6.7,5.7,6.5,8.0,Sim,8.5,5.0,Fase 6,-1,,,,,
RA-97,Fase 5,L,Aluno-97,2007,15,F,2017,Privada,2022,Ametista,Agata,Ametista,7.468,4.0,Avaliador-5,Avaliador-27,Avaliador-24,7.5,8.8,5.0,6.9,5.3,6.7,8.8,Não,6.292,10.0,Fase 5,0,,,,,
RA-98,Fase 5,L,Aluno-98,2007,15,F,2017,Privada,2022,Topazio,Topazio,Topazio,9.354,4.0,Avaliador-5,Avaliador-27,Avaliador-24,8.8,10.0,9.4,8.5,8.4,8.2,8.9,Sim,9.667,10.0,Fase 5,0,,,,,
RA-99,Fase 5,L,Aluno-99,2006,16,M,2019,Publica,2022,Agata,Agata,Agata,6.158,4.0,Avaliador-6,Avaliador-27,Avaliador-28,8.8,6.3,7.5,5.0,5.7,3.4,5.8,Não,5.833,5.0,Fase 6,-1,,,,,
RA-100,Fase 4,A,Aluno-100,2009,13,F,2019,Privada,2022,Ametista,Topazio,Ametista,7.618,4.0,Avaliador-6,Avaliador-27,Avaliador-30,8.8,7.8,5.0,7.6,7.0,7.8,8.1,Não,7.25,10.0,Fase 3,1,,,,,
