RA,Fase,Turma,Nome,Ano_Nascimento,Idade,Genero,Ano_Ingresso,Instituicao_Ensino,Ano_Referencia,Pedra_20,Pedra_21,Pedra_22,INDE_22,Num_Av,Avaliador1,Avaliador2,Avaliador3,IAA,IEG,IPS,IDA,Mat,Por,Ing,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Pedra_23,Pedra_23_1,IPP,Pedra_24,Pedra
RA-484,Fase 2,2B,Aluno-484,2011,12,M,2022,Publica,2023,,,Agata,6.71,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.4,7.5,2.52,3.6,3.2,4.0,,,6.8,5.0,Fase 3,-1,Quartzo,,5.416666667,,
RA-508,Fase 2,2B,Aluno-508,2012,10,M,2022,Publica,2023,,,Agata,6.575,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.4,8.6,2.52,7.5,6.2,8.7,,,8.6725,10.0,Fase 2,0,Ametista,,8.333333333,,
RA-495,Fase 2,2B,Aluno-495,2011,12,M,2022,Privada,2023,,,Ametista,7.857,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,8.4,2.52,7.4,6.0,8.8,,,8.755,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-1078,Fase 2,2B,Aluno-1078,2009,14,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,5.3,6.8,2.52,6.4,4.3,8.5,,,8.2975,5.0,Fase 4,-2,Agata,,8.958333333,,
RA-340,Fase 2,2B,Aluno-340,2011,12,M,2017,Publica,2023,Ametista,Agata,Ametista,7.721,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.6,2.52,8.9,9.0,8.7,,,8.505,5.0,Fase 3,-1,Ametista,,9.166666667,,
RA-1079,Fase 2,2B,Aluno-1079,2010,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,8.1,2.52,7.6,7.3,7.8,,,7.13,5.0,Fase 3,-1,Agata,,7.083333333,,
RA-1080,Fase 2,2B,Aluno-1080,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.9,10.0,5.0,1.5,0.0,3.0,,,8.13,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-1081,Fase 2,2B,Aluno-1081,2009,14,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,10.0,2.52,6.5,8.0,5.0,,,8.59,5.0,Fase 4,-2,Ametista,,8.958333333,,
RA-1082,Fase 2,2B,Aluno-1082,2011,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.5,2.52,5.0,3.5,6.5,,,8.4225,5.0,Fase 3,-1,Ametista,,8.75,,
RA-1083,Fase 2,2B,Aluno-1083,2013,10,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.8,10.0,5.0,7.5,7.0,8.0,,,8.38,10.0,Fase 2,0,Topazio,,8.75,,
RA-531,Fase 2,2B,Aluno-531,2012,11,M,2022,Publica,2023,,,Ametista,8.057,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,10.0,2.52,7.7,6.3,9.0,,,8.59,10.0,Fase 2,0,Topazio,,8.75,,
RA-1084,Fase 2,2B,Aluno-1084,2012,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.4,10.0,2.52,6.8,5.0,8.5,,,8.38,10.0,Fase 2,0,Ametista,,8.75,,
RA-516,Fase 2,2B,Aluno-516,2013,10,M,2019,Bolsista,2023,Topazio,Topazio,Topazio,8.903,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.8,2.52,9.3,9.0,9.5,,,8.7175,10.0,Fase 2,0,Topazio,,8.75,,
RA-348,Fase 2,2B,Aluno-348,2010,13,M,2022,Publica,2023,,,Quartzo,5.864,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,8.7,2.52,4.4,2.0,6.7,,,8.0075,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-1085,Fase 2,2C,Aluno-1085,2011,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.8,2.52,6.7,6.0,7.3,,,8.13,5.0,Fase 3,-1,Agata,,8.958333333,,
RA-1086,Fase 2,2C,Aluno-1086,2011,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.4,2.52,5.7,6.0,5.3,,,8.755,5.0,Fase 3,-1,Ametista,,8.75,,
RA-1087,Fase 2,2C,Aluno-1087,2011,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.5,2.52,5.4,3.7,7.0,,,8.0475,5.0,Fase 3,-1,Ametista,,8.75,,
RA-509,Fase 2,2C,Aluno-509,2010,12,F,2018,Publica,2023,Ametista,Agata,Ametista,7.808,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,8.1,2.52,8.6,8.2,9.0,,,8.84,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-499,Fase 2,2C,Aluno-499,2012,11,M,2020,Publica,2023,Agata,Ametista,Ametista,7.826,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.9,10.0,2.52,6.6,5.3,7.8,,,8.2975,10.0,Fase 2,0,Ametista,,8.75,,
RA-500,Fase 2,2C,Aluno-500,2012,11,F,2020,Publica,2023,Topazio,Topazio,Topazio,8.232,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,10.0,2.52,7.9,8.5,7.2,,,8.7975,10.0,Fase 2,0,Topazio,,8.958333333,,
RA-1088,Fase 2,2C,Aluno-1088,2010,13,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.8,2.52,6.8,6.0,7.5,,,7.9225,5.0,Fase 3,-1,Ametista,,8.75,,
RA-1089,Fase 2,2C,Aluno-1089,2012,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.5,2.52,7.0,6.0,8.0,,,8.3375,10.0,Fase 2,0,Ametista,,8.75,,
RA-1090,Fase 2,2C,Aluno-1090,2010,13,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.6,2.52,9.0,8.7,9.3,,,7.88,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-503,Fase 2,2C,Aluno-503,2012,11,M,2020,Publica,2023,Topazio,Topazio,Ametista,7.95,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,10.0,2.52,8.7,8.7,8.7,,,8.255,10.0,Fase 2,0,Topazio,,8.75,,
RA-1091,Fase 2,2C,Aluno-1091,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.0,2.52,9.5,9.3,9.7,,,9.1725,5.0,Fase 3,-1,Topazio,,8.958333333,,
RA-1092,Fase 2,2C,Aluno-1092,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.8,9.8,2.52,6.9,6.0,7.8,,,8.2975,5.0,Fase 3,-1,Ametista,,8.75,,
RA-1093,Fase 2,2C,Aluno-1093,2012,11,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.0,9.3,2.52,9.2,9.3,9.0,,,8.2975,10.0,Fase 2,0,Topazio,,8.958333333,,
RA-1094,Fase 2,2C,Aluno-1094,2011,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.8,9.5,2.52,8.5,7.8,9.2,,,8.3375,10.0,Fase 2,0,Topazio,,8.75,,
RA-1095,Fase 2,2C,Aluno-1095,2010,13,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.8,2.52,5.3,5.8,4.7,,,8.005,5.0,Fase 3,-1,Agata,,8.75,,
RA-324,Fase 2,2D,Aluno-324,2012,11,F,2022,Publica,2023,,,Topazio,8.27,3.0,Avaliador-15,Avaliador-5,Avaliador-2,5.8,9.0,2.52,8.4,8.0,8.7,,,7.5875,10.0,Fase 2,0,Ametista,,8.125,,
RA-350,Fase 2,2D,Aluno-350,2011,12,F,2022,Publica,2023,,,Topazio,8.206,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.7,2.52,9.0,8.8,9.2,,,7.92,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-517,Fase 2,2D,Aluno-517,2010,13,F,2017,Publica,2023,Ametista,Agata,Ametista,7.604,3.0,Avaliador-15,Avaliador-5,Avaliador-2,4.1,9.0,2.52,6.6,4.5,8.7,,,6.7125,5.0,Fase 3,-1,Agata,,6.875,,
RA-325,Fase 2,2D,Aluno-325,2012,11,M,2022,Publica,2023,,,Ametista,7.619,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,7.1,5.0,5.6,3.8,7.3,,,7.0025,10.0,Fase 2,0,Agata,,8.125,,
RA-518,Fase 2,2D,Aluno-518,2012,11,M,2022,Publica,2023,,,Ametista,7.661,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,8.5,5.0,6.7,5.5,7.8,,,6.9175,10.0,Fase 2,0,Ametista,,8.125,,
RA-530,Fase 2,2D,Aluno-530,2012,11,M,2019,Publica,2023,Topazio,Topazio,Topazio,8.338,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,8.8,5.0,5.7,5.8,5.5,,,7.46,10.0,Fase 2,0,Ametista,,7.708333333,,
RA-524,Fase 2,2D,Aluno-524,2011,12,M,2019,Publica,2023,Ametista,Ametista,Agata,6.947,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.4,9.2,2.52,8.9,9.0,8.8,,,7.42,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-1096,Fase 2,2D,Aluno-1096,2012,10,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.9,2.52,9.6,9.5,9.7,,,8.0875,10.0,Fase 2,0,Topazio,,8.958333333,,
RA-526,Fase 2,2D,Aluno-526,2010,13,M,2022,Publica,2023,,,Topazio,8.079,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.8,5.0,8.8,8.3,9.3,,,7.7525,5.0,Fase 3,-1,Topazio,,8.75,,
RA-528,Fase 2,2D,Aluno-528,2011,12,M,2021,Publica,2023,,Ametista,Quartzo,5.335,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,8.5,5.0,8.2,7.5,8.8,,,7.92,5.0,Fase 3,-1,Ametista,,8.75,,
RA-534,Fase 2,2D,Aluno-534,2010,13,M,2021,Publica,2023,,Ametista,Ametista,7.131,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.1,2.52,5.4,3.7,7.0,,,7.92,5.0,Fase 3,-1,Quartzo,,8.125,,
RA-1097,Fase 2,2D,Aluno-1097,2009,14,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,8.6,5.0,5.4,4.3,6.5,,,6.96,5.0,Fase 4,-2,Agata,,8.125,,
RA-1098,Fase 2,2D,Aluno-1098,2010,13,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.5,2.52,6.4,6.3,6.5,,,7.92,5.0,Fase 3,-1,Ametista,,8.125,,
RA-506,Fase 2,2D,Aluno-506,2010,13,M,2020,Publica,2023,Ametista,Agata,Ametista,7.132,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,8.1,5.0,8.5,7.3,9.7,,,7.92,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-1099,Fase 2,2F,Aluno-1099,2010,13,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.6,2.52,5.2,5.7,4.7,,,8.34,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-1100,Fase 2,2F,Aluno-1100,2012,11,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.2,5.0,7.1,6.3,7.8,,,8.283333333,10.0,Fase 2,0,Topazio,,8.541666667,,
RA-1101,Fase 2,2F,Aluno-1101,2013,10,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,7.2,5.0,5.3,4.2,6.3,,,8.116666667,10.0,Fase 2,0,Agata,,8.333333333,,
RA-1102,Fase 2,2F,Aluno-1102,2012,11,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.5,5.0,7.5,5.7,9.2,,,7.56,10.0,Fase 2,0,Topazio,,7.708333333,,
RA-363,Fase 2,2F,Aluno-363,2010,13,M,2022,Publica,2023,,,Agata,6.644,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.9,2.52,6.8,6.8,6.8,,,8.673333333,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-1103,Fase 2,2F,Aluno-1103,2012,10,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,8.7,5.0,5.0,4.5,5.5,,,8.006666667,10.0,Fase 2,0,Ametista,,8.333333333,,
RA-539,Fase 2,2F,Aluno-539,2011,12,F,2022,Publica,2023,,,Ametista,7.665,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,8.6,2.52,8.5,7.2,9.7,,,8.84,5.0,Fase 3,-1,Ametista,,9.166666667,,
RA-540,Fase 2,2F,Aluno-540,2012,11,F,2019,Publica,2023,Topazio,Topazio,Ametista,7.303,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,8.8,5.0,7.1,6.5,7.7,,,8.95,10.0,Fase 2,0,Topazio,,8.958333333,,
RA-574,Fase 2,2F,Aluno-574,2012,11,M,2022,Publica,2023,,,Agata,6.86,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.9,8.2,5.0,8.1,7.7,8.5,,,8.173333333,10.0,Fase 2,0,Ametista,,7.916666667,,
RA-369,Fase 2,2F,Aluno-369,2011,12,M,2022,Publica,2023,,,Agata,6.973,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,4.1,5.0,4.0,5.0,3.0,,,7.726666667,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-375,Fase 2,2F,Aluno-375,2011,12,M,2019,Publica,2023,Topazio,Topazio,Ametista,7.831,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.9,5.0,7.9,6.8,9.0,,,8.283333333,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-376,Fase 2,2F,Aluno-376,2010,13,F,2019,Publica,2023,Ametista,Agata,Agata,6.957,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.6,2.52,5.9,4.3,7.5,,,8.226666667,5.0,Fase 3,-1,Ametista,,7.916666667,,
RA-535,Fase 2,2G,Aluno-535,2012,11,F,2019,Publica,2023,Topazio,Ametista,Agata,6.953,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.4,5.0,5.6,4.7,6.5,,,8.95,10.0,Fase 2,0,Topazio,,8.125,,
RA-547,Fase 2,2G,Aluno-547,2011,12,F,2019,Publica,2023,Agata,Agata,Ametista,7.745,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.1,2.52,6.2,5.0,7.3,,,8.95,5.0,Fase 3,-1,Agata,,8.75,,
RA-548,Fase 2,2G,Aluno-548,2010,12,M,2019,Publica,2023,Ametista,Ametista,Ametista,7.292,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.1,2.52,7.4,6.2,8.5,,,8.283333333,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-538,Fase 2,2G,Aluno-538,2009,13,M,2022,Publica,2023,,,Agata,6.309,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.4,8.6,2.52,4.7,3.5,5.8,,,7.39,5.0,Fase 3,-1,Agata,,7.916666667,,
RA-365,Fase 2,2G,Aluno-365,2012,10,F,2022,Publica,2023,,,Topazio,8.063,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.9,2.52,8.7,8.2,9.2,,,8.953333333,10.0,Fase 2,0,Topazio,,8.958333333,,
RA-559,Fase 2,2G,Aluno-559,2011,12,M,2021,Publica,2023,,Ametista,Ametista,7.634,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.4,5.0,7.4,6.5,8.2,,,8.506666667,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-1104,Fase 2,2G,Aluno-1104,2010,13,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,5.7,10.0,2.52,6.4,5.5,7.3,,,9.063333333,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-563,Fase 2,2G,Aluno-563,2011,11,F,2020,Publica,2023,Topazio,Ametista,Topazio,8.22,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.4,9.7,2.52,6.2,6.0,6.3,,,8.726666667,10.0,Fase 2,0,Ametista,,8.75,,
RA-573,Fase 2,2G,Aluno-573,2011,12,M,2020,Publica,2023,Ametista,Topazio,Topazio,8.261,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.8,5.0,6.6,5.7,7.5,,,8.45,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-551,Fase 2,2G,Aluno-551,2010,12,F,2018,Publica,2023,Ametista,Ametista,Agata,6.853,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,8.6,2.52,5.4,4.5,6.2,,,8.393333333,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-566,Fase 2,2G,Aluno-566,2010,12,F,2022,Publica,2023,,,Ametista,7.729,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,8.8,2.52,8.4,8.8,8.0,,,8.673333333,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-555,Fase 2,2G,Aluno-555,2010,13,M,2019,Publica,2023,Ametista,Ametista,Quartzo,5.949,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.4,8.1,2.52,3.9,1.5,6.2,,,6.946666667,5.0,Fase 3,-1,Quartzo,,6.25,,
RA-373,Fase 2,2G,Aluno-373,2011,12,M,2022,Publica,2023,,,Ametista,7.503,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.7,2.52,8.4,7.7,9.0,,,7.84,5.0,Fase 3,-1,Agata,,8.75,,
RA-1105,Fase 2,2G,Aluno-1105,2010,13,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.0,2.52,6.0,5.0,7.0,,,8.673333333,5.0,Fase 3,-1,Agata,,8.125,,
RA-546,Fase 2,2H,Aluno-546,2011,12,F,2021,Publica,2023,,Quartzo,Agata,6.77,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,7.2,2.52,5.7,3.5,7.8,,,9.173333333,5.0,Fase 3,-1,Agata,,8.75,,
RA-557,Fase 2,2H,Aluno-557,2012,11,M,2019,Publica,2023,Ametista,Topazio,Topazio,8.334,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,8.2,5.0,8.9,8.0,9.7,,,9.62,10.0,Fase 2,0,Topazio,,9.375,,
RA-1106,Fase 2,2H,Aluno-1106,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.3,5.0,5.1,5.2,5.0,,,8.003333333,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-558,Fase 2,2H,Aluno-558,2008,15,M,2022,Publica,2023,,,Quartzo,5.539,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.8,9.4,5.0,6.0,5.7,6.3,,,6.78,2.5,Fase 5,-3,Agata,,6.458333333,,
RA-560,Fase 2,2H,Aluno-560,2011,12,M,2020,Publica,2023,Agata,Quartzo,Quartzo,4.949,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.4,2.52,4.0,2.3,5.7,,,6.0,5.0,Fase 3,-1,Quartzo,,5.0,,
RA-1107,Fase 2,2H,Aluno-1107,2010,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.4,5.0,7.5,8.0,7.0,,,8.783333333,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-1108,Fase 2,2H,Aluno-1108,2010,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,9.3,5.0,4.7,3.7,5.7,,,8.283333333,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-542,Fase 2,2H,Aluno-542,2011,12,F,2019,Publica,2023,Ametista,Agata,Ametista,7.221,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.7,5.0,6.3,5.2,7.3,,,9.006666667,5.0,Fase 3,-1,Ametista,,8.75,,
RA-543,Fase 2,2H,Aluno-543,2012,11,F,2022,Publica,2023,,,Ametista,7.05,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.8,9.8,2.52,6.5,5.5,7.5,,,9.006666667,10.0,Fase 2,0,Ametista,,8.75,,
RA-556,Fase 2,2H,Aluno-556,2011,12,F,2018,Publica,2023,Topazio,Ametista,Ametista,7.181,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.6,2.52,7.2,6.5,7.8,,,9.396666667,5.0,Fase 3,-1,Ametista,,9.166666667,,
RA-1109,Fase 2,2H,Aluno-1109,2009,14,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,6.4,5.0,3.4,3.5,3.3,,,7.836666667,5.0,Fase 4,-2,Agata,,7.5,,
RA-389,Fase 2,2H,Aluno-389,2011,12,M,2019,Publica,2023,Ametista,Agata,Ametista,7.184,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.2,2.52,8.2,6.8,9.5,,,8.95,5.0,Fase 3,-1,Agata,,8.75,,
RA-1110,Fase 2,2H,Aluno-1110,2011,12,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,4.6,9.2,5.0,6.8,6.5,7.0,,,8.73,5.0,Fase 3,-1,Ametista,,8.541666667,,
RA-568,Fase 2,2I,Aluno-568,2008,15,M,2018,Publica,2023,Ametista,Ametista,Ametista,7.306,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.0,7.9,5.0,7.6,8.5,6.7,,,8.01,2.5,Fase 5,-3,Agata,,8.125,,
RA-562,Fase 2,2I,Aluno-562,2011,12,F,2021,Publica,2023,,Ametista,Ametista,7.855,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.5,2.52,8.7,7.7,9.7,,,8.893333333,5.0,Fase 3,-1,Agata,,8.541666667,,
RA-1111,Fase 2,2I,Aluno-1111,2012,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.9,2.52,5.4,4.8,6.0,,,8.173333333,10.0,Fase 2,0,Agata,,8.125,,
RA-1112,Fase 2,2I,Aluno-1112,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,7.9,2.52,6.3,5.2,7.3,,,8.616666667,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-525,Fase 2,2I,Aluno-525,2011,12,F,2021,Publica,2023,,Agata,Ametista,8.013,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.0,8.6,2.52,9.2,8.8,9.5,,,9.566666667,5.0,Fase 3,-1,Ametista,,8.958333333,,
RA-357,Fase 2,2I,Aluno-357,2010,13,M,2022,Publica,2023,,,Ametista,7.836,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.6,7.52,8.7,8.7,8.7,,,8.23,5.0,Fase 3,-1,Topazio,,8.75,,
RA-583,Fase 2,2I,Aluno-583,2010,13,F,2019,Publica,2023,Ametista,Ametista,Ametista,7.456,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.4,7.52,6.3,5.5,7.0,,,8.616666667,5.0,Fase 3,-1,Ametista,,8.333333333,,
RA-584,Fase 2,2I,Aluno-584,2012,11,F,2019,Publica,2023,Topazio,Ametista,Agata,6.714,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.0,2.52,5.8,5.0,6.5,,,8.56,10.0,Fase 2,0,Ametista,,8.333333333,,
RA-586,Fase 2,2K,Aluno-586,2012,10,F,2021,Bolsista,2023,,Topazio,Ametista,7.988,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.0,10.0,2.52,8.4,7.5,9.2,,,9.343333333,10.0,Fase 2,0,Topazio,,8.333333333,,
RA-1113,Fase 2,2K,Aluno-1113,2011,12,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,6.0,7.52,5.0,5.0,5.0,,,7.173333333,5.0,Fase 3,-1,Quartzo,,7.5,,
RA-413,Fase 2,2K,Aluno-413,2010,13,F,2022,Publica,2023,,,Agata,6.408,3.0,Avaliador-15,Avaliador-5,Avaliador-2,7.9,8.9,2.52,6.3,5.8,6.7,,,7.503333333,5.0,Fase 3,-1,Agata,,7.291666667,,
RA-599,Fase 2,2K,Aluno-599,2012,10,M,2022,Publica,2023,,,Topazio,8.2,3.0,Avaliador-15,Avaliador-5,Avaliador-2,10.0,9.5,2.52,8.5,8.2,8.7,,,9.286666667,10.0,Fase 2,0,Topazio,,8.333333333,,
RA-1114,Fase 2,2K,Aluno-1114,2011,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,8.5,9.8,2.52,4.9,4.3,5.5,,,8.56,10.0,Fase 2,0,Ametista,,8.125,,
RA-401,Fase 2,2K,Aluno-401,2010,12,F,2021,Publica,2023,,Quartzo,Agata,6.645,3.0,Avaliador-15,Avaliador-5,Avaliador-2,4.0,8.1,2.52,7.3,6.3,8.3,,,7.116666667,5.0,Fase 3,-1,Agata,,7.083333333,,
RA-1115,Fase 2,2K,Aluno-1115,2012,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,0.0,8.3,7.52,4.0,6.0,2.0,,,7.56,10.0,Fase 2,0,Agata,,7.5,,
RA-1116,Fase 2,2K,Aluno-1116,2009,13,M,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.5,9.2,5.0,4.9,3.8,6.0,,,7.39,5.0,Fase 3,-1,Agata,,7.083333333,,
RA-604,Fase 2,2K,Aluno-604,2012,11,F,2021,Publica,2023,,Ametista,Ametista,8.018,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.3,7.52,7.5,6.0,9.0,,,8.616666667,10.0,Fase 2,0,Topazio,,8.125,,
RA-605,Fase 2,2K,Aluno-605,2010,12,F,2021,Publica,2023,,Ametista,Ametista,7.276,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.5,7.52,6.8,4.8,8.8,,,7.84,5.0,Fase 3,-1,Ametista,,7.291666667,,
RA-668,Fase 2,2K,Aluno-668,2011,12,M,2022,Publica,2023,,,Quartzo,4.365,3.0,Avaliador-15,Avaliador-5,Avaliador-2,6.3,6.3,7.52,3.4,2.7,4.0,,,7.616666667,5.0,Fase 3,-1,Agata,,6.875,,
RA-1117,Fase 2,2K,Aluno-1117,2012,11,F,2023,Publica,2023,,,,,3.0,Avaliador-15,Avaliador-5,Avaliador-2,9.0,9.6,7.52,7.3,6.0,8.5,,,7.946666667,10.0,Fase 2,0,Topazio,,7.708333333,,
